acetylcholine esterase
activated macrophage
active center
acute osteomyelitis
acute rejection
adjuvant chemotherapy
adult disease
adult periodontitis
advancement flap
aging population
airway pressure
airway secretion
allergic inflammation
allergic reaction
allosteric effect
alveolar canal
alveolar cleft
alveolar crest
alveolar rhabdomyosarcoma
amelogenesis imperfecta
anabolic hormone
anabolic steroid
analgesic action
analytical epidemiology
anaplastic carcinoma
anesthetic test
angular cheilitis
anterior guidance
antiallergic agent
antianxiety drug
antiasthmatic drug
anticancer antibiotic
anticancer drug
anticholinergic agent
antifungal agent
antigen presentation
antihypertensive drug
antipsychotic drug
antipyretic analgesics
antirheumatic drug
antithrombotic action
antithrombotic drug
antitumor immunity
antiulcer drug
antiviral drug
aortic aneurysm
ascorbic acid
aspiration biopsy
aspiration pneumonia
asteroid body
atrial fibrillation
atrial flutter
autistic child
autogenic training
autoimmune disease
autologous transfusion
automatic diagnosis
awake intubation
bar clasp
base pair
behavioral therapy
benign cementoblastoma
biological clock
biopsy needle
birth mark
bite mark
bite wound
blocking drug
blood substitute
blue nevus
bone defect
bone mineral
bone remodeling
bone scintigram
botulinum toxin
brain death
brain injury
bullous pemphigoid
burn shock
c region
calcium metabolism
camp phosphodiesterase
cancer gene
capillary hemangioma
carbide bur
carcinoid syndrome
cardiac death
cardiac defibrillator
cardiac tamponade
cardiopulmonary resuscitation
caries prevalence
cartilage graft
cascade reaction
cephalometric radiography
chain reaction
challenge test
cheilitis granulomatosa
chemotherapeutic drug
chemotherapeutic drug bite
child dose
cholic acid
chronic dosing
chronic rejection
clinical genetics
clinical trial
coagulation factor
coenzyme q
cognitive therapy
cohort study
collision tumor
colony hybridization
complementation test
composite resin
compound odontoma
computed tomography
computerized tomography
concanavalin a
condylar position
conjoined twin
contact allergy
contrast enhancement
core protein
covalent modification
cranial bone
critical ph
cytopathic effect
darier disease
delayed eruption
dental implant
dentigerous cyst
dentinal tubule
denture stomatitis
dermatan sulfate
descriptive epidemiology
developmental index
diagnostic drug
diastolic phase
dietary fiber
diluting agent
discrimination threshold
displaced fracture
dissolution test
dna ligase
dna synthesis
dna virus
dopamine receptor
down regulation
down syndrome
drug allergy
drug interference
dull pain
dystrophic calcification
early antigen
eating disorder
ectodermal dysplasia
eikenella corrodens
electric toothbrush
endogenous opioid
enteric coating
epithelial dysplasia
evoked electromyogram
ewing sarcoma
expiratory muscle
extramedullary plasmacytoma
extrinsic coagulation
fanconi syndrome
fetal toxicity
fibrinolytic system
fibrous histiocytoma
fluid replacement
fluorescent probe
foamy cells
follicular adenoma
follicular lymphoma
forensic toxicology
frameshift mutation
front tooth
fulminant hepatitis
fused tooth
fusobacterium nucleatum
g2 phase
gap junction
gene expression
gene manipulation
genetic engineering
genetic variation
geriatric medicine
glandular fever
glomus tumor
glutamic acid
glycogen phosphorylase
glycogen synthase
goldenhar syndrome
gout suppressant
grid ratio
growth abnormality
growth factor
guanylate cyclase
haemophilus influenzae
hard capsules
head tilt
health counseling
health promotion
hemifacial microsomia
hemolytic reaction
hemorrhagic shock
heparan sulfate
horizontal infection
host factor
hunt syndrome
hypertonic dehydration
hypervariable region
hypoglycemic drug
hypovolemic shock
hypoxic hypoxia
immune complex
immunodeficiency syndrome
immunoglobulin class
immunological memory
immunological tolerance
immunosuppressive drug
immunosuppressive therapy
immunosuppressive therapy adenoma
impacted tooth
implant site
inactivated vaccine
incisal point
incontinentia pigmenti
indigenous microbiota
infectious arthritis
infratemporal fossa
innate immunity
insertion sequence
inspiratory muscle
inspiratory pressure
intelligence quotient
interdental brush
intermediate filament
intradermal nevus
intraductal papilloma
intraoperative complication
intraoral source
intraperitoneal administration
intraperitoneal injection
intravenous anesthesia
intravenous anesthetics
intravenous catheter
intravenous injection
ion pair
ion transport
ionic strength
jet ventilation
joint contracture
kaposi sarcoma
kawasaki disease
keratan sulfate
kirschner wire
lateral approach
legionella pneumophila
leptospira interrogans
link protein
linkage map
lip bumper
lipid peroxide
lung compliance
lymphoblastic lymphoma
lymphoepithelial cyst
lymphoepithelial lesion
malignant ameloblastoma
malignant hyperthermia
malignant schwannoma
mandibular plane
manual ventilation
manufacturing approval
masked depression
masticatory force
masticatory performance
