abomasum displacement
absorbing root
accumulated temperature
acute toxicity
additive gene
adsorbed water
adult tree
adventitious bud
affinity chromatography
aggregate structure
aggregated distribution
aggregation pheromone
agricultural waste
allogamous plant
anaerobic bacteria
anaerobic fermentation
anther culture
antimicrobial activity
application amount
artificial grassland
artificial selection
ascorbic acid
aseptic filling
aspect ratio
back mutation
bark compost
barn cleaner
barnyard millet
barrier method
batch culture
berry drop
big baler
biological production
biosynthetic pathway
birth weight
black rice
black tea
blood type
boot stage
borna disease
brown rice
brush cutter
calving number
carbon assimilation
carbon cycle
cell culture
cell cycle
cell differentiation
cell line
chemical mutagen
chilling injury
chilling requirement
chisel plow
chromosome addition
circadian rhythm
clonal line
cluster analysis
clutch size
coagulating agent
cocoon shell
cold chain
combined pollution
common millet
common wheat
compression wood
concentration polarization
cone index
continuous selection
contract farming
control threshold
coronal root
cover culture
crop science
culled chicken
cultivation method
cultivation techniques
cumulative temperature
current shoot
damage analysis
dehydroascorbic acid
detection limit
dew condensation
diameter distribution
differential host
differential species
dominance hierarchy
drip irrigation
electric fence
electron acceptor
electron transport
elongation growth
eluvial horizon
embryo culture
energy metabolism
environmental assessment
environmental pollution
environmental variation
enzyme electrode
excess sludge
exchangeable base
exotic species
exponential growth
external fertilization
extracellular enzyme
eyed egg
fabricated food
feed ingredient
feeding speed
fermented milk
flag leaf
floating rice
floral organ
flower bed
flower picking
foam stability
fog machine
food chain
food dye
food ingredient
food irradiation
food microbiology
food policy
food safety
forest age
forma specialis
freezing resistance
frequency table
front yard
fruit bunch
fruit vegetables
fruiting body
full sib
functional property
gel electrophoresis
gene amplification
gene analysis
gene bank
gene dosage
gene engineering
gene expression
gene interaction
gene locus
gene manipulation
gene pool
genetic background
genetic gain
genetic heterogeneity
genetic information
genetic resource
genome analysis
genome constitution
genotypic value
genotypic variance
germination speed
germination test
glutamic acid
grazing intensity
grazing pressure
green manure
green revolution
greenhouse effect
ground seedbed
ground skidding
groundwater table
growth factor
growth promotion
growth regulator
habitat segregation
harvest index
heart rate
heterosis breeding
home range
hypersensitive reaction
ice cream
immobilized enzyme
infection cycle
infrared drying
infrared heating
inorganic fertilizer
insect resistance
insecticidal activity
interannual variation
intercellular space
intermediate stock
internode elongation
interrow space
interspecific competition
intragenic recombination
intrarow spacing
ionic strength
isogenic line
japanese quail
jar fermentor
ketone body
key factor
key species
killer yeast
kuroboku soil
land productivity
land subsidence
lethal factor
lethal gene
life form
linear regression
livestock barn
livestock waste
locational conditions
lunar age
luteinizing hormone
management plan
marker gene
mass balance
maternal effect
maternal inheritance
mating type
metabolic pathway
meteorological disasters
microbial control
microbial degradation
milk replacer
mineral deficiency
minor gene
mitotic index
mixed cropping
molecular biology
monoclonal antibody
monozygotic twins
mulberry field
multiple cropping
multiple factors
multiple genes
multiple resistance
multivariate analysis
mutation site
native species
nature conservation
net energy
net photosynthesis
newcastle disease
nitrification inhibitor
nitrogen cycle
node order
nuclear transplantation
null hypothesis
nutrient uptake
opportunity cost
optimum temperature
oral infection
oral inoculation
organic fertilizer
overall application
ovule culture
paddy farming
paddy soil
pathogenic bacterium
pathogenic fungus
pause day
performance test
pest resistance
pesticide applicator
pesticide spray
phenotypic selection
photochemical reaction
photosynthetic bacteria
photosynthetic products
photosynthetic rate
phylogenetic tree
piston flow
plant community
plant length
plant phenology
plant vigour
planting density
plasma membrane
poisson distribution
pollen culture
population dynamics
population genetics
population size
power tiller
processed food
protected horticulture
protoplast fusion
pruning machine
quality inspection
rain damage
random number
rapeseed meal
recessive mutation
recombinant dna
recurrent selection
redox potential
regional agriculture
registered variety
regulator gene
remote sensing
removal method
replacement rate
reproductive growth
resistant rootstock
restoring gene
reverse mutation
reynolds number
rib eye
ribosomal rna
rice cropping
rice grain
rice hull
rice starch
rice transplanter
root box
root tuber
root vegetables
rooting zone
rotational application
rural development
rural households
salinity tolerance
salty wind
scented rice
screening test
secondary structure
secondary tuber
seed storage
seeding density
seedling age
segregating population
segregation distortion
selection criteria
selection efficiency
selection intensity
selection pressure
selective medium
sesame oil
sewage sludge
sex control
sex determination
sex discrimination
sex hormone
sex pheromone
sexual cycle
shoot blight
slurry injector
snack food
snow damage
snow endurance
soilless culture
solar drying
solution culture
somatic cell
soybean flour
spherical virus
stand type
statistical genetics
steering wheel
subclinical mastitis
substitution line
substrate mycelia
subsurface soil
suppressive soil
suspension culture
systemic infection
target organ
temperate forest
thickening growth
threshold value
thyroid hormone
tidal flat
tilt angle
tip drying
tissue culture
trace element
transect method
transmission rate
transplanting culture
tropical forest
trypsin inhibitor
type culture
upland cropping
upland farming
upland irrigation
uronic acid
variance component
vinyl house
void ratio
water activity
water deficit
water uptake
wild relatives
wild type
wind pollination
windbreak forest
working performance
wound infection
yield component
yield potential
yield prediction
