absorption probability
accumulation ring
acoustic microscope
active center
adiabatic change
adiabatic potential
adsorption structure
allowed transition
ambipolar diffusion
amorphous semiconductor
amplitude hologram
amplitude reflectance
analog circuit
antireflection coating
arithmetic circuit
aspherical lens
asymptotic series
asymptotic solution
atomic model
auger electron
b quark
bag model
ballooning instability
band gap
bcc structure
beat frequency
bessel function
betatron function
bhabha scattering
boltzmann constant
boltzmann distribution
boltzmann factor
boundary lubrication
boussinesq approximation
bragg reflection
burgers vector
canonical distribution
canonical ensemble
carnot cycle
carrier injection
centrifugal barrier
ceramic filter
chalcogenide glass
chaotic motion
characteristic temperature
characteristic vibration
charm quark
chebyshev polynomial
cherenkov radiation
cholesteric phase
cluster expansion
coalescence model
coexistence curve
coherence length
coherence time
coherent representation
coherent scattering
cold neutron
collective coordinate
commensurate structure
complex viscosity
compound semiconductor
computational complexity
configuration space
conjugate wave
conserved current
conserved quantity
contact interaction
cooper pair
core electron
corona discharge
correlation length
cosmological constant
coulomb collision
coulomb gap
coverage factor
covering group
creeping flow
critical nucleus
crossover effect
cryogenic pump
crystal field
crystal momentum
crystalline polymer
cumulant expansion
curie temperature
cw laser
cw oscillation
d electron
dangling bond
daughter nucleus
decay curve
defect level
deformation potential
delayed fluorescence
density modulation
diamond structure
diffraction contrast
diffraction efficiency
diffusion length
diffusion velocity
digital circuit
diode laser
dirac equation
disk laser
dislocation loop
disorder parameter
dispersion surface
dissipative structure
dissociation energy
dissociative ionization
dual lattice
dynamical susceptibility
dynamical symmetry
eigenfunction expansion
einstein equation
ekman layer
electron attachment
electron correlation
electron holography
electroweak interaction
electroweak theory
elementary excitation
emission band
energy distribution
evolution equation
ewald method
exchange splitting
excitation energy
excitonic absorption
exterior derivative
extinction distance
extinction ratio
faraday effect
fast diffusion
fcc structure
feedforward control
fermi energy
fermi momentum
ferroelastic domain
ferroelectric domain
fiber optics
filled band
flexible polymer
flexural vibration
flicker noise
fluorescence spectrum
fluorescence yield
fluorite structure
flutter echo
flux flow
fock space
fourier expansion
fragmentation reaction
fresnel zone
frontier orbital
froude number
gauge fixing
gauge theory
goldstone boson
goldstone mode
grashof number
gravitational mass
gravitational radius
gravitational wave
greenhouse effect
guided mode
hamiltonian operator
hartree approximation
hausdorff dimension
heat insulation
heavy quasiparticle
helical dislocation
helicon wave
helmholtz equation
hermitian operator
higgs mechanism
homogeneous broadening
hopping integral
hubbard model
hybrid orbital
hyperfine interaction
hyperfine splitting
image force
image potential
image signal
image space
impact ionization
impact parameter
impulse response
impurity scattering
incoherent light
incommensurate structure
incommensurate transition
induced emission
inertial confinement
infrared microscope
inhomogeneous broadening
integral transform
integrated intensity
interchange instability
intermolecular force
interstitial atom
intrinsic region
intrinsic semiconductor
invariant mass
invariant subspace
inverted pendulum
inviscid fluid
ion pair
