acetylcholine esterase
active center
acute osteomyelitis
acute rejection
adult disease
adult periodontitis
advancement flap
aging population
air kerma
airway pressure
airway secretion
allergic inflammation
allergic reaction
allosteric effect
alveolar canal
alveolar cleft
alveolar crest
alveolar rhabdomyosarcoma
amelogenesis imperfecta
anabolic hormone
anabolic steroid
analgesic action
analytical epidemiology
anaplastic carcinoma
anesthetic test
angular cheilitis
antiallergic agent
antianxiety drug
antiasthmatic drug
anticancer antibiotic
anticancer drug
anticholinergic agent
antifungal agent
antigen presentation
antihypertensive drug
antipsychotic drug
antipyretic analgesics
antirheumatic drug
antithrombotic action
antithrombotic drug
antitumor immunity
antiulcer drug
antiviral drug
aortic aneurysm
ascorbic acid
aspiration biopsy
aspiration pneumonia
asteroid body
atrial fibrillation
atrial flutter
autistic child
autoimmune disease
automatic diagnosis
bar clasp
behavioral therapy
benign cementoblastoma
biopsy needle
birth mark
bite mark
bite wound
blocking drug
bone defect
botulinum toxin
brain injury
bullous pemphigoid
burn shock
c region
calcium metabolism
calcium pump
camp phosphodiesterase
cancer gene
capillary hemangioma
carbide bur
carcinoid syndrome
cardiac death
cardiac tamponade
caries prevalence
cartilage graft
cascade reaction
cephalometric radiography
challenge test
cheilitis granulomatosa
chemotherapeutic drug
cholic acid
chronic rejection
clinical genetics
clinical trial
coagulation factor
coenzyme q
cognitive therapy
collision tumor
colony hybridization
complementation test
composite resin
compound odontoma
computed tomography
computerized tomography
concanavalin a
condylar position
contact allergy
core protein
covalent modification
cranial bone
critical ph
cytopathic effect
darier disease
delayed eruption
dental implant
dentigerous cyst
denture stomatitis
dermatan sulfate
descriptive epidemiology
diagnostic drug
diastolic phase
dietary fiber
diluting agent
discrimination threshold
displaced fracture
dissolution test
dna virus
dopamine receptor
down regulation
down syndrome
drug allergy
dull pain
dystrophic calcification
early antigen
eating disorder
ectodermal dysplasia
eikenella corrodens
enzyme immunoassay
epithelial dysplasia
ewing sarcoma
expiratory muscle
extramedullary plasmacytoma
extrinsic coagulation
fanconi syndrome
fibrinolytic system
fibrous histiocytoma
fluid replacement
foamy cells
follicular adenoma
follicular lymphoma
forensic toxicology
frameshift mutation
front tooth
fulminant hepatitis
fused tooth
fusobacterium nucleatum
g2 phase
genetic engineering
genetic variation
geriatric medicine
glandular fever
glomus tumor
glutamic acid
glycogen phosphorylase
glycogen synthase
goldenhar syndrome
gout suppressant
growth abnormality
growth factor
guanylate cyclase
haemophilus influenzae
head tilt
health counseling
health index
hemifacial microsomia
hemolytic reaction
hemorrhagic shock
heparan sulfate
horizontal infection
hormone receptor
host factor
hunt syndrome
hypertonic dehydration
hypervariable region
hypoglycemic drug
hypovolemic shock
hypoxic hypoxia
immune complex
immunodeficiency syndrome
immunological tolerance
immunosuppressive drug
immunosuppressive therapy
impacted tooth
implant site
inactivated vaccine
incisal point
incontinentia pigmenti
indigenous microbiota
infectious arthritis
infratemporal fossa
innate immunity
insertion sequence
inspiratory muscle
inspiratory pressure
intelligence quotient
interdental brush
intermediate filament
intraductal papilloma
intraoperative complication
intraoral source
intraperitoneal administration
intraperitoneal injection
intravenous anesthesia
intravenous anesthetics
intravenous catheter
intravenous injection
ionic strength
jet ventilation
joint contracture
kaposi sarcoma
kawasaki disease
keratan sulfate
legionella pneumophila
leptospira interrogans
link protein
lipid peroxide
lymphoblastic lymphoma
lymphoepithelial cyst
lymphoepithelial lesion
malignant ameloblastoma
malignant schwannoma
mandibular plane
manufacturing approval
masticatory force
masticatory rhythm
maxillofacial surgery
mediastinal shift
medical device
medicolegal autopsy
melanin pigmentation
membrane current
mesenchymal chondrosarcoma
methyl methacrylate
mitomycin c
mixed dentition
mobile phase
monoclonal antibody
monoclonal gammopathy
monocytic leukemia
monolayer culture
motor aphasia
mucinous adenocarcinoma
mucinous carcinoma
mucoepidermoid carcinoma
muscarinic action
muscle fatigue
muscle pump
muscle rigidity
mycolic acid
myeloma cell
myeloproliferative syndrome
myoclonic epilepsy
nasal cannula
neisseria gonorrhoeae
nerve damage
nk cell
noninvasive measurement
nonionic surfactant
nutrition guidance
occlusal relationship
odontogenic cyst
odontogenic infection
open bite
operative stress
ophthalmic solution
opioid peptide
optimum temperature
orthostatic dysregulation
orthostatic hypotension
osmotic diuretic
ossifying fibroma
osteoid osteoma
oxygen cylinder
oxygen electrode
oxygen mask
oxygenated hemoglobin
panoramic radiograph
panoramic radiography
paradoxical breathing
parosteal osteosarcoma
pediatric dentistry
periodontal ligament
periodontal surgery
peripheral action
peyer patch
phenotypic variation
phosphatidic acid
placebo effect
plasminogen activator
platelet transfusion
pleomorphic adenoma
plexus papilloma
postoperative pain
postsynaptic potential
preclinical test
preoperative evaluation
preparation examples
prismless enamel
projected pain
prolyl hydroxylase
promyelocytic leukemia
protective glove
psychogenic pain
psychosomatic disorder
psychosomatic medicine
pulmonary hypertension
receptor potential
recombinant dna
recurrent fever
regional anesthesia
regional block
regulator gene
regulatory gene
resident flora
residual monomer
resin filling
resin restoration
resistance vessel
respiratory alkalosis
respiratory movement
respiratory muscle
restriction endonuclease
restriction enzyme
retention effect
reticular formation
retrograde degeneration
rna polymerase
rna virus
root resection
salivary protein
sarcoplasmic reticulum
schiff base
sclerosing hemangioma
sealed source
secondary amyloidosis
secondary prevention
secondary response
secretory granule
secretory iga
segmental resection
sensory neuron
sensory organ
septic shock
serine protease
serotonin antagonist
sialic acid
silane coupling
silane treatment
sinoatrial block
sinoatrial node
sjogren syndrome
smeared layer
sodium channel
sodium hydrogencarbonate
somatic sensation
species difference
speech disturbance
spinal anesthesia
splice site
stem cell
sternocleidomastoid muscle
storiform pattern
stratum basale
stress relaxation
subglottic stenosis
suction catheter
supernumerary tooth
superoxide dismutase
surgical stress
synaptic vesicle
synovial sarcoma
t cell
tangier disease
team treatment
tertiary prevention
thermal sensation
thermoplastic resin
thiol protease
tissue conditioner
tissue culture
topical anesthesia
transcriptional control
transforming growth
transfusion reaction
treponema denticola
trigger point
trigger zone
tube feeding
tuberous sclerosis
tumor regrowth
tumor volume
uncoated tablet
vacuolar degeneration
vasovagal reflex
vegetative state
ventricular tachycardia
verruciform xanthoma
verrucous carcinoma
vertical infection
vibrio parahaemolyticus
vital sign
vitamin c
vitamin d3
volatile anesthetic
voltage clamp
wegener granulomatosis
wound contraction
zinc oxide
α wave
θ wave
