abnormal weather
abomasum displacement
absolute configuration
absorbed amount
acid lignin
acid soil
acid tolerance
acid value
acid-base balance
acidic fertilizer
acquired immunity
activation energy
active ingredient
acute toxicity
additional manure
additive effect
additive gene
adipose tissue
adrenal cortex
adrenal gland
adsorbed water
adult tree
adventitious bud
adventive root
affinity chromatography
after ripening
agar media
agar plate
age class
age distribution
age structure
aged seed
agricultural area
agricultural census
agricultural chemicals
agricultural cooperatives
agricultural disaster
agricultural economics
agricultural engineering
agricultural facilities
agricultural law
agricultural machinery
agricultural policy
agricultural population
agricultural problems
agricultural products
agricultural reform
agricultural region
agricultural revolution
agricultural sciences
agricultural structure
agricultural technique
agricultural waste
air permeability
air pollution
air temperature
air valve
airtight silo
aleurone layer
alkali cellulose
allogamous plant
allometric growth
allotment garden
alluvial fan
alluvial soil
alpine zone
alternate bearing
ambrosia beetle
ames test
amino-carbonyl reaction
ammonium nitrogen
ammonium phosphate
amniotic fluid
anaerobic fermentation
anaerobic respiration
analytical chemistry
animal feeding
animal husbandry
animal improvement
animal industry
animal product
anion exchange
annual crop
annual ring
annual variation
antimicrobial activity
apical dominance
apical meristem
application amount
application rate
aquatic plant
arable soil
arid climate
arid zone
aridity index
artificial diet
artificial forest
artificial grassland
artificial insemination
artificial mutation
artificial selection
ascorbic acid
aseptic filling
ash content
athletic field
atmospheric pressure
atretic follicle
atrophic rhinitis
autumn crop
autumn manuring
autumn seeding
available energy
available form
available phosphorus
average tree
axenic culture
axillary bud
azimuth angle
back mutation
back yard
bacterial disease
bacterial leaching
bacterial ooze
bactericidal action
bacteriostatic action
bad crop
bag removing
band saw
bare ground
bare hill
bare land
bark compost
barley bran
barley straw
barn cleaner
barnyard millet
barrier method
basal area
basal diet
basal dressing
basal fertilizer
basement membrane
batch culture
batch operation
beam trawl
bearing capacity
bearing shoot
bed log
beef cattle
beef tallow
beet sugar
belt conveyor
belt transect
berry drop
biennial bearing
big baler
binding capacity
biological assay
biological concentration
biological control
biological degradation
biosynthetic pathway
birth weight
black earth
black heart
black soil
black tea
blood corpuscle
blood glucose
blood group
blood plasma
blood type
blooming season
body fluid
body length
body weight
bone meal
borna disease
boron deficiency
botanical composition
botanical garden
bound water
boundary layer
bovine coccidiosis
bowen ratio
breeding field
breeding material
breeding method
breeding objective
breeding place
breeding population
breeding process
breeding season
breeding stock
breeding system
breeding value
bridge formation
broad-leaved forest
broad-leaved tree
broad-leaved weed
broiler house
brown rice
brown rot
brown soil
browning reaction
brush cutter
brushing waste
buckwheat flour
bud grafting
bud mutation
bud picking
bud sport
buffer stock
burned tip
bush training
ca storage
cable yarding
cacao bean
cacao butter
calcareous soil
calcined phosphate
calcium carbonate
calcium silicate
calf starter
calyx end
cane sugar
canine distemper
cannon circumference
canopy closure
carbohydrate metabolism
carbon assimilation
carbon cycle
carbon source
carcass grade
cash crop
cassava starch
catabolite repression
catchment basin
cation exchange
cell contents
cell culture
cell cycle
cell differentiation
cell division
cell fusion
cell line
cell membrane
cell wall
chemical analysis
chemical control
chemical degradation
chemical fertilizer
chemical injury
chemical name
chemical spray
chest girth
chi-square test
chilling injury
chilling treatment
chromosome addition
chromosome analysis
chromosome association
chromosome number
chronic toxicity
circadian rhythm
circular dichroism
circular saw
circulatory system
city milk
clay loam
clay soil
cleaned barley
clear cutting
climatic variation
clipping method
clonal selection
clonal test
cluster analysis
clutch size
coagulating agent
coarse sand
coastal fisheries
coated rice
cocoon filament
cold climate
cold damage
cold district
cold protection
cold resistance
cold storage
cold upland
column chromatography
combined application
combined pollution
combined water
combining ability
comfort zone
commercial feed
commercial stock
commercial variety
common millet
community planning
comparative variety
compensatory growth
competitive exclusion
complementary feed
complete metamorphosis
compost depot
compound fertilizer
compound leaf
compressive stress
concentrated juice
concentration polarization
conception rate
cone index
confidence limit
confinement rearing
coniferous forest
coniferous wood
consumptive use
continuous cropping
continuous irrigation
continuous operation
continuous selection
continuous variation
contract farming
control area
control method
control threshold
controlled environment
controlled pollination
conventional application
core breakdown
corn oil
corn starch
coronal root
corpus luteum
correlation ratio
corrugated cardboard
cotton picker
cotton plug
cotton seed
cover crop
cover culture
cover degree
covering device
critical depth
critical photoperiod
critical stage
crop farming
crop plant
crop residual
crop science
crop situation
cropping system
cross pollination
crown gall
crude fat
crude protein
crumb structure
culled chicken
cultivable land
cultivated land
cultivated species
cultivation experiment
cultivation method
cultivation type
cultural control
culture filtrate
culture solution
cumulative temperature
curative effect
cut back
cutting angle
cutting bed
cutting cycle
cutting time
cylinder method
daily gain
daily periodicity
dairy breed
dairy cattle
damage analysis
damaged grain
daughter tuber
death rate
debris flow
deep placement
deep plowing
deep sowing
defatted soybean
deficiency disease
deficiency symptom
degradation product
dehydroascorbic acid
demonstration farm
denitrifying bacteria
dense planting
density effect
derived protein
detection limit
devastated land
developmental zero
dew condensation
diatomaceous earth
differential host
digestive enzyme
digestive tract
dilution method
dilution ratio
dioecious plant
diploid number
dipping method
direct runoff
direct seeding
discontinuous distribution
disease forecasting
disease injury
disease susceptibility
disease symptom
dispersing agent
dissolved oxygen
distilled water
diurnal change
diurnal variation
domestic timber
domestic variety
dominance hierarchy
dominant character
dominant species
dormancy awakening
dormant spore
dormant tuber
double cropping
double cross
double flower
double flowered
drag coefficient
drainage area
drainage canal
drainage system
dressed carcass
dressing percentage
dried leaf
dried vegetable
drift net
drop culture
drought resistance
dry distillation
dry matter
dry period
dry rot
dry spell
dry up
dry weight
drying room
ear emergence
ear length
ear type
ear weight
early defoliation
early flowering
early maturation
early maturity
early planting
early ripening
early seeding
early wood
eating quality
economic age
economic effects
edible mushroom
effective radiation
effective rainfall
effective temperature
egg candling
egg cleaner
egg laying
egg production
egg white
electric conductivity
electric fence
electric heating
electron acceptor
electron microscope
electron transport
elongation growth
eluvial horizon
embryo culture
embryonic stage
empty seed
emulsifiable concentrate
emulsifying agent
endemic species
endoplasmic reticulum
energy budget
energy metabolism
enrichment culture
environmental assessment
environmental conservation
environmental control
environmental correlation
environmental factor
environmental pollution
environmental resistance
environmental variation
enzyme electrode
epidermal cell
epigeal stem
erosion control
essential nutrient
essential oil
estrous cycle
estuary weir
ether extract
evergreen forest
exchange acidity
exchange capacity
exchangeable acidity
exotic species
expectation value
experimental field
experimental plot
exponential growth
exposure factor
external fertilization
