acceptable daily intake
accessory reproductive organ
acetic acid fermentation
activated sludge process
african swine fever
age in day
age in week
agricultural experimental station
agricultural extension service
amino acid fermentation
amino acid sequence
amount of application
amount of emergence
amount of growth
amount of insolation
amount of precipitation
amount of rainfall
analysis of variance
angle of repose
base saturation percentage
basic vegetative growth
biochemical oxygen demand
biologically active substance
black root rot
border flower bed
bottom long line
breaking of dormancy
brown forest soil
butyric acid bacteria
carbon dioxide application
carbon dioxide fixation
carpet flower bed
cation exchange capacity
chemical pest control
chemically modified starch
cocoon filament size
coefficient of correlation
coefficient of inbreeding
coefficient of permeability
coefficient of roughness
coefficient of variation
continuous snow cover
controlled atmosphere storage
cool summer damage
cool temperate forest
covering with soil
cracked rice kernel
critical moisture content
cultivation in forest
date of ripening
degraded paddy field
degree of contamination
degree of freedom
degree of humification
degree of saturation
density gradient centrifugation
dilution plate technique
dry matter production
dry matter weight
early season culture
effect of fertilizer
effective soil layer
electron capture detector
equilibrium moisture content
essential amino acid
establishment of orchard
excess moisture injury
excessive vine growth
falling of blossom
farm household economy
fast growing tree
fertilizer and manure
first filial generation
first heading time
fixed shore net
flame photometric detector
flower bud abscission
flower bud formation
flower bud initiation
flower stalk formation
flue cured type
fluorescent antibody technique
follicle stimulating hormone
forcing of sprouting
forest tree breeding
frozen concentrated juice
fruit bearing branch
full bloom stage
full heading time
fused magnesium phosphate
general combining ability
goodness of fit
gray lowland soil
growth and development
heating degree hour
high temperature injury
high water level
honeycomb internal check
hot water treatment
inhibition of germination
insect growth regulator
insect pest control
insect pest management
intensity of selection
kind of land
lactic acid fermentation
laminated veneer lumber
land improvement district
land tenure system
latent heat flux
leaf area index
least squares method
leveling of ground
limit of detection
limit of determination
limiting amino acid
loss in weight
low temperature injury
low temperature storage
low temperature warehouse
mass transfer coefficient
maximum likelihood method
mean air temperature
milled wood lignin
minimum air temperature
minimum inhibitory concentration
minimum lethal dose
modified leader type
modified milk powder
national land conservation
negative binomial distribution
net water requirement
number of tillers
panicle formation stage
percentage of parasitism
phosphate absorption coefficient
physiologically active substance
place of origin
plowing and paddling
polyunsaturated fatty acid
pore water pressure
principal component analysis
raising of seedling
rate of germination
rate of impregnation
rate of multiplication
rate of raising
rate of work
raw silk percentage
rearing of seedling
recurrence of estrus
relative growth rate
relative light intensity
ridge and furrow
room temperature storage
rotational paddy field
rotational upland field
saturated fatty acid
seed and seedling
shape of branch
shoot apex culture
single cell protein
site of action
soil heat flux
soil moisture stress
soil moisture tension
soil organic matter
source of infection
soy protein isolate
specific growth rate
stem and leaf
straight line training
sweet potato starch
thin layer chromatography
three phase distribution
time of flowering
time of harvesting
time of ripening
unsaturated fatty acid
upland field crop
upland field farming
volatile fatty acids
water dispersible powder
water holding capacity
water saturation deficit
water soluble powder
well-drained paddy field
white muscle disease
windowless poultry house
