67ga citrate
a band
a cell
abdominal breathing
abnormal behavior
abo incompatibility
abrasion test
absorbed dose
absorbent gauze
absorption coefficient
absorption test
abused child
abutment tooth
acanthosis nigricans
acceptable concentration
acetylcholine esterase
acetylsalicylic acid
acid etching
acid phosphatase
acid-base balance
acid-base equilibrium
acid-fast bacteria
acid-fast stain
acquired disease
acquired disposition
acquired immunity
acquired resistance
actinomyces israelii
action potential
activating system
activation energy
active center
active immunotherapy
active ingredient
active site
active transport
acupuncture therapy
acute action
acute bleeding
acute inflammation
acute myelofibrosis
acute pulpitis
acute rejection
added filter
addison disease
adenosine monophosphate
adenylate cyclase
adhesive force
adhesive plaster
adipose tissue
adjuvant immunotherapy
adrenal medulla
adrenergic agent
adrenergic drug
adrenocortical hormone
adrenogenital syndrome
adult disease
adult periodontitis
adverse effect
adverse reaction
aerobic bacteria
aerosol therapy
agar impression
agar plate
age class
age composition
agglutination reaction
aging phenomenon
aging population
air kerma
air-liquid interface
airway conductance
airway pressure
airway resistance
airway secretion
alcohol block
alcohol dehydrogenase
aldehyde dehydrogenase
algesic substance
alginate impression
alkaline phosphatase
alkylating agent
allelic gene
allergic inflammation
allergic purpura
allergic reaction
allosteric effect
allowable concentration
alveolar arch
alveolar bone
alveolar crest
alveolar macrophage
alveolar mucosa
alveolar process
alveolar ridge
alveolar socket
alveolar space
alveolar structure
alveolar ventilation
alveolar wall
amalgam alloy
ameloblastic fibrosarcoma
amino acid
aminoglycoside antibiotics
amphotericin b
amputation neuroma
amyl nitrite
anabolic hormone
anabolic steroid
anaerobic metabolism
analgesic action
analgesic effect
analytical epidemiology
anaphylactic shock
anaphylactoid reaction
anaplastic carcinoma
anemic infarct
anesthetic agent
anesthetic test
angina pectoris
angular cheilitis
animal bite
anterior fontanelle
anterior guidance
anti-inflammatory action
anti-inflammatory analgesic
anti-inflammatory drug
antianxiety drug
antiarrhythmic action
antiarrhythmic agent
antiasthmatic drug
antibacterial activity
antibacterial agent
antibacterial spectrum
antibody production
antibody titer
anticancer antibiotic
anticholinergic drug
antifungal agent
antifungal antibiotic
antigen receptor
antigen-antibody reaction
antigen-presenting cell
antigen-recognition site
antigenic determinant
antigravity muscle
antihistamine drug
antipruritic drug
antipyretic action
antipyretic analgesics
antirheumatic action
antistreptolysin o
antithrombotic action
antithyroid drug
antitumor agent
antitussive drug
antiulcer drug
antiviral drug
aortic aneurysm
apert syndrome
aphthous stomatitis
aphthous ulcer
apical abscess
apical periodontitis
aplastic anemia
apocrine gland
arachidonic acid
arsenic trioxide
arsenious acid
arteriovenous fistula
arteriovenous shunt
articular capsule
articular eminence
articular surface
artificial nipple
artificial respiration
artificial tooth
ascorbic acid
aseptic necrosis
aspartic acid
aspiration biopsy
assisted respiration
atmospheric pressure
atomic number
atrial fibrillation
atrial flutter
atrioventricular block
attached gingiva
attenuated vaccine
attenuation curve
auditory disorder
auricular block
auricular fibrillation
auricular flutter
auriculotemporal nerve
autistic child
autoimmune disease
automatic processing
autonomic imbalance
awake intubation
axon reflex
b cell
babyhood stage
bacillus subtilis
bacterial endocarditis
bacterial plaque
bacterial shock
bacterial toxin
bacteroides fragilis
ball thrombus
banti syndrome
barbituric acid
basal arch
basal body
basal infoldings
basal metabolism
base excess
base pair
base resin
behavior disorder
behavioral therapy
behcet disease
bell palsy
bence-jones protein
bending strength
bending test
benign cementoblastoma
benign tumor
benzalkonium chloride
bile pigment
binary alloy
biological clock
biological evaluation
biological half-life
biological property
birth mark
birth weight
bite block
bite mark
bite plate
bite taking
bite wound
biting force
block anesthesia
blocking drug
blood agar
blood coagulation
blood disease
blood flow
blood gas
blood group
blood level
blood plasma
blood platelet
blood pressure
blood substitute
blood sugar
blood transfusion
blood type
blood viscosity
blood-brain barrier
blue nevus
blue-green algae
bodily movement
body fluid
body height
body position
body temperature
bond energy
bond strength
bonding agent
bone age
bone defect
bone marrow
bone mineral
bone remodeling
bone resorption
bone saw
bone screw
botulinum toxin
bowen disease
brain wave
branchial arch
branchiogenic carcinoma
breast feeding
breath holding
brittle fracture
bronchial asthma
brown induration
brown pigment
brown tumor
bubonic plague
buccal mucosa
buccal surface
buffer solution
buffer system
bulbar paralysis
bullous pemphigoid
buried suture
burkitt lymphoma
burn shock
business administration
business management
butt joint
cadmium poisoning
calcareous deposition
calcareous metastasis
calcium antagonist
calcium metabolism
calibration curve
caloric intake
cancer gene
capacitance vessel
capillary hemangioma
capillary pressure
capillary stabilizer
carbide bur
carbonate stone
carbonic anhydrase
carcinoid syndrome
carcinoid tumor
cardiac arrest
cardiac arrhythmia
cardiac cycle
cardiac defibrillator
cardiac glycoside
cardiac massage
cardiac tamponade
cardiopulmonary resuscitation
caries activity
caries experience
caries prevention
caries vaccine
carious cavity
carious dentin
carotid artery
cartilaginous tumor
cascade reaction
caseous necrosis
casting machine
catabolite repression
catalytic site
catarrhal inflammation
causative agent
cavernous hemangioma
cavernous lymphangioma
cavity floor
cavity preparation
cavity wall
cell embolism
cell fusion
cell membrane
cell permeability
cell wall
cell-mediated cytotoxicity
cellular atypism
cellular immunity
cement filling
cement line
central action
central body
central fossa
central incisor
central osteoma
centric occlusion
centric relation
centrifugal casting
cephalometric radiography
cerebral arteriosclerosis
cerebral concussion
cerebral contusion
cerebral edema
cerebral embolism
cerebral hypoxia
cerebral infarction
cerebral palsy
cerebrospinal fluid
cerebrovascular accident
cervical cyst
cervical fistula
cervical wall
chain reaction
challenge test
characteristic curve
chelating agent
chemical bond
chemical carcinogen
chemical mediator
chemical test
chemical transmitter
chemotactic factor
chemotherapeutic drug
chewable tablets
chewing efficiency
chewing rhythm
chewing time
cheyne-stokes respiration
chief complaint
cholesterol ester
cholic acid
cholinergic agent
chondroitin sulfate
chondromyxoid fibroma
chromaffin cell
chronic effect
chronic exposure
chronic inflammation
chronic leukemia
chronic poisoning
chronic sinusitis
chronic stage
chronotropic action
ciliary movement
circulation time
circulatory collapse
circulatory insufficiency
circulatory system
citrate synthase
clean room
cleft formation
cleft lip
cleft palate
cleidocranial dysostosis
climacteric disorder
clinical evaluation
clinical examination
clinical genetics
clinical microbiology
clinical pathology
clinical study
clinical test
clinical trial
clonic convulsion
clostridium tetani
clotting time
cluster sampling
co2 narcosis
coated tablet
coenzyme a
cognitive therapy
cohort study
coil spring
cold compress
cold test
cold working
collagen disease
collateral circulation
colony hybridization
combined therapy
common drug
communicable disease
community dentistry
community health
compact bone
compensatory hypertrophy
competitive inhibition
complement fixation
complementation test
complete adjuvant
complete antigen
complete denture
complete regeneration
complete response
complete survey
complicated fracture
component transfusion
composite graft
composite material
composite resin
compression test
compressive strength
computed tomography
computerized tomography
concanavalin a
conditioned reflex
conditioned response
conduction anesthesia
conduction velocity
condylar cartilage
condylar point
condylar position
condylar process
condyle path
congenital abnormality
congenital micrognathia
congenital syphilis
conn syndrome
constant region
consumption coagulopathy
contact allergy
contact dermatitis
contact inhibition
contact point
continuous suture
contractile protein
contrast medium
contrast radiography
controlled respiration
conversion hysteria
copper amalgam
cor pulmonale
core protein
core temperature
coronal pulp
coronary embolism
coronary insufficiency
coronary vasodilator
corpora amylacea
cortical bone
cortical plate
corynebacterium diphtheriae
cough reflex
coupling agent
covalent bond
covalent modification
coxsackie virus
cranial bone
creatine phosphate
critical ph
cross bite
cross contamination
cross matching
cross resistance
cross tolerance
crush syndrome
culture medium
cumulative dose
curved needle
cushing disease
cuspal interference
cutting edge
cutting instrument
cutting needle
cyanide poisoning
cystic lymphangioma
cytochalasin b
cytopathic effect
cytotoxicity test
darier disease
dark adaptation
dark room
dead space
decayed tooth
deciduous dentition
deep pain
deep sensation
delayed effect
delayed elasticity
delayed eruption
delayed-type hypersensitivity
dental amalgam
dental anesthesia
dental calculus
dental caries
dental chair
dental examination
dental floss
dental formula
dental health
dental hygiene
dental hygienist
dental implant
dental office
dental pain
dental plaque
dental pulp
dental service
dental surgeon
dental treatment
dentigerous cyst
dentinal tubule
denture base
denture border
denture stomatitis
deoxycholic acid
deoxyribonucleic acid
depressant action
depressive state
derived protein
dermatitis herpetiformis
dermoid cyst
desmoplastic fibroma
developmental anomaly
developmental index
developmental quotient
developmental test
diabetes mellitus
diabetic coma
diabetic glomerulosclerosis
diabetic microangiopathy
diagnostic model
diaminopimelic acid
diastolic phase
diastolic pressure
dietary fiber
dietary habit
dietetic treatment
diethyl ether
digestive enzyme
digestive juice
direct bilirubin
discrimination threshold
displaced fracture
dissociation constant
dissolution test
distal rest
distal surface
distilled water
disuse atrophy
dna ligase
dna replication
dna synthesis
dna virus
doctor-patient relationship
dosage regimen
dosage schedule
dose dependency
dose distribution
dose equivalent
dose limit
dose rate
dose-response curve
dose-response relationship
double end
double immunodiffusion
doubling time
down syndrome
drinking water
drip infusion
drop number
droplet infection
drug abuse
drug addiction
drug allergy
drug dependence
drug eruption
drug history
drug hypersensitivity
drug information
drug interaction
drug intoxication
drug metabolism
drug therapy
drug tolerance
drug-induced hepatitis
dry socket
dry syrup
dubin-johnson syndrome
dull pain
dysentery bacillus
dystrophic calcification
early adolescence
early antigen
early childhood
early diagnosis
eating function
eccrine gland
ectodermal dysplasia
ectopic eruption
edge effect
effective dose
ehlers-danlos syndrome
eikenella corrodens
elastic deformation
elastic fiber
elective operation
electric furnace
electric injury
electric knife
electric toothbrush
electrical axis
electrochemical corrosion
electrolyte balance
electromagnetic radiation
electromagnetic wave
electron density
electron microscope
electrophoretic analysis
elusion test
emergency operation
emergency treatment
emission spectrum
emotional disturbance
emotional stability
emulsifying agent
enamel crack
enamel epithelium
end artery
endemic disease
endochondral ossification
endogenous opioid
endoplasmic reticulum
endotoxin shock
endotracheal intubation
enrichment culture
environmental health
environmental pollution
environmental sanitation
environmental standard
enzyme immunoassay
enzyme induction
enzyme kinetics
eosinophilic leukocyte
epidemic disease
epidemic parotitis
epidemiological survey
epidermoid carcinoma
epidermoid cyst
epithelial dysplasia
epithelial tumor
epoxy resin
equilibrium constant
equilibrium potential
erythema induratum
erythema multiforme
erythema neonatorum
escherichia coli
esophageal speech
essential hypertension
essential oil
etching agent
ethical drugs
ethmoidal sinus
ethyl aminobenzoate
eugenic protection
eugenol cement
evans blue
ewing sarcoma
examination room
exciting cause
excretory duct
exhalation valve
exocrine gland
exogenous infection
expiratory muscle
expiratory phase
expired air
exploratory operation
expressive language
external causes
external exposure
external respiration
extracellular fluid
extramedullary plasmacytoma
extraosseous osteosarcoma
extrapyramidal symptom
extrinsic factor
f value
fabry disease
facial artery
facial nerve
facial palsy
facial paralysis
facial profile
facial spasm
fallot tetralogy
fatty acid
fatty degeneration
fatty infiltration
fc receptor
fecal stone
feedback control
feedback inhibition
feedback regulation
feeding behavior
fetal erythroblastosis
fibrinoid degeneration
fibrous bone
fibrous histiocytoma
fibrous polyp
field study
field survey
film speed
fine grain
first aid
first choice
fitness test
fixing agent
flavin mononucleotide
fluid intake
fluid replacement
fluid therapy
fluorescent antibody
fluorescent probe
fluorescent screen
foamy cells
focal infection
focal spot
folic acid
follicular adenoma
follicular lymphoma
follow-up study
follow-up survey
food additives
food debris
food hygiene
food preservative
food sanitation
forensic medicine
forensic psychiatry
forensic science
forensic toxicology
formic acid
fractionated irradiation
free energy
free gingiva
free radical
freeman-sheldon syndrome
frey syndrome
front tooth
frontal plane
frontal sinus
frontal view
fruit sugar
full stomach
fulminant hepatitis
functional analysis
functional group
fusobacterium nucleatum
g1 phase
g2 phase
gallic acid
gallium alloy
gap junction
gardner syndrome
gas analysis
gas chromatography
gas embolism
gas gangrene
gastric gland
gastric secretion
gastrointestinal hormone
gaucher disease
gel chromatography
gel filtration
gene locus
gene manipulation
gene mutation
general anesthetic
general circulation
general examination
general management
general practitioner
general toxicity
generation time
genetic counselling
genetic diathesis
genetic effect
genetic information
genetic marker
genetic material
genioglossus muscle
germ cell
germ tube
giant cell
gingival crevice
gingival hyperplasia
gingival margin
gingival recession
glandular fever
glass vessel
glioblastoma multiforme
glomus tumor
glossopharyngeal nerve
glucuronic acid
glutamic acid
glycogen synthase
gold alloy
gold-silver-palladium alloy
golgi apparatus
golgi complex
gonadotropic hormone
gonial angle
gouty arthritis
graft-versus-host reaction
grain boundary
grand mal
granular layer
granulation tissue
grape sugar
group guidance
growth abnormality
growth curve
growth factor
growth hormone
guanosine monophosphate
guanylate cyclase
guide wire
guillain-barre syndrome
gustatory cell
gustatory sweating
h antigen
habitual dislocation
hairy tongue
hand mixing
handicapped person
hansen disease
hard capsules
hard chancre
hard palate
hard tissue
hardness test
hbc antigen
hbe antigen
hbs antigen
head injury
head tilt
health activity
health behavior
health care
health center
health consultation
health education
health examination
health guidance
health index
health level
health nurse
health service
health statistics
hearing loss
hearing test
heart beat
heart failure
heart rate
heart sound
heat urticaria
heavy chain
hemifacial microsomia
hemolytic anemia
hemorrhagic diathesis
hemorrhagic infarct
hemorrhagic shock
hepatitis a
hepatitis b
hereditary disease
hereditary predisposition
herpes labialis
herpes zoster
high frequency
hla complex
hodgkin disease
home care
horizontal plane
hormone receptor
horner syndrome
horny layer
hospital infection
hospital pharmacist
host factor
host-parasite relation
hot compress
hot working
human engineering
humoral immunity
hunt syndrome
hyaline bodies
hyaline degeneration
hyaluronic acid
hydrocolloid impression
hydrogen bond
hyoid bone
hyperplastic pulpitis
hypertonic dehydration
hypervariable region
hyperventilation syndrome
hypoglossal nerve
hypotensive anesthesia
hypoxic hypoxia
image correction
image quality
immature infant
immediate action
immune complex
immune hemolysis
immune response
immune serum
immunoglobulin class
immunological enhancement
immunomodulative drug
implant denture
implant material
implant site
impression material
impression method
impression tray
in situ
in vitro
in vivo
inactivated vaccine
inapparent infection
incidence rate
incisional biopsy
inclusion body
incontinentia pigmenti
incubation period
indigenous bacterium
indigenous microbiota
indirect agglutination
individual difference
individual disposition
individual growth
individual tray
industrial accident
industrial medicine
industrial physician
infiltration anesthesia
inflammatory edema
information activity
infrared spectrophotometry
infrared spectrum
infratemporal fossa
infusion fluid
inhalation anesthesia
inhalation anesthetics
inhibitory synapse
initial dose
inlay cavity
inotropic action
inspiratory muscle
inspiratory phase
inspiratory pressure
inspired air
inspired gas
intelligence quotient
intelligence test
intercalated duct
intercellular space
interdental brush
intermaxillary anchorage
intermaxillary fixation
intermediate filament
intermediate layer
internal cause
internal cavity
internal exposure
internal irradiation
internal respiration
internal secretion
interpersonal relationship
intertubular dentin
intestinal absorption
intra-arterial administration
intracavitary irradiation
intracerebral inoculation
intracranial injury
intracranial pressure
intracutaneous injection
intradermal nevus
intraductal papilloma
intramuscular injection
intraocular inoculation
intraoperative complication
intraoral source
intraperitoneal administration
intraperitoneal injection
intrapleural pressure
intraspinal injection
intrathoracic pressure
intravenous anesthetics
intravenous catheter
intravenous drip
intravenous hyperalimentation
intravenous injection
intrinsic factor
involuntary movement
iodine value
ion electrode
ion pair
ion transport
ionic bond
ionic strength
ionizing radiation
iron preparation
irreversible damage
isometric contraction
itai-itai disease
j chain
jet injection
jet nebulizer
jet ventilation
joint contracture
junctional nevus
kaposi sarcoma
kasabach-merritt syndrome
kawasaki disease
keratan sulfate
ketamine hydrochloride
kirschner wire
klippel-trenaunay-weber syndrome
kussmaul respiration
labor accident
lacerated wound
lactobacillus casei
lag phase
laminar flow
laryngeal granuloma
laryngeal reflex
laryngeal spasm
late effect
latent infection
latent period
lateral approach
lateral branch
lateral incisor
lateral ligament
lateral projection
laughing gas
legal medicine
lesch-nyhan syndrome
lethal dose
life cycle
life history
life support
light chain
light microscope
light reaction
light reflex
limbic system
linear accelerator
lineweaver-burk plot
lingual artery
lingual nerve
lingual surface
lingual tonsil
link protein
linkage map
linoleic acid
linolenic acid
lip bumper
lipid peroxide
lipoprotein lipase
liver cirrhosis
local action
local anesthesia
local immunity
local infection
local infiltration
local response
log phase
log-normal distribution
long-term exposure
longitudinal study
low dose
lower jaw
lower lip
lunate bone
lung compliance
lupus erythematosus
lupus vulgaris
luteinizing hormone
luteotropic hormone
lymphatic follicle
lymphatic leukemia
lymphoblastic lymphoma
lymphocyte transformation
lymphoepithelial cyst
lymphoid cell
lysosomal granules
m wave
maffucci syndrome
magill forceps
main arch
main point
major tranquilizer
malignant ameloblastoma
malignant hyperpyrexia
malignant hyperthermia
malignant tumor
malpractice suit
mandibular arch
mandibular asymmetry
mandibular canal
