term,term_lemma,familiarity_score
AACR,aacr,3.0
ALA,ala,3.0
ARL,arl,3.0
ASIST,asist,3.0
Adjustable Classification,adjustable classification,4.5
Alexandrian Library,alexandrian library,1.0
Amano Keitaro,amano keitaro,3.0
American Library Association,american library association,1.5
American Library Association Code of Ethics,american library association code of ethic,1.8
American Society for Information Science and Technology,american society for information science and technology,1.25
Anglo-American Cataloguing Rules,anglo - american catalogue rule,2.5
Anomalous State of Knowledge,anomalous state of knowledge,2.111111111111111
Archival Law of Japan,archival law of japan,3.0
Ariyama Takashi,ariyama takashi,3.0
Aslib,aslib,3.0
Association for Documentation in Economics,association for documentation in economic,2.0
Association of Research Libraries,association of research library,1.75
BBS,bb,3.0
BC,bc,3.0
BDS,bds,3.0
BSH,bsh,3.0
Basic Plan for the Promotion of Reading Activities for Children,basic plan for the promotion of read activity for child,1.5
Basic Subject Headings,basic subject heading,1.5
Bibliographic Classification,bibliographic classification,4.0
Bodleian Library,bodleian library,1.0
Bookstart,bookstart,3.0
Boolean operation,boolean operation,3.0
Boston Public Library,boston public library,1.75
Bradford's law,bradford 's law,1.5
British Library,british library,1.0
Broad System of Ordering,broad system of order,1.875
Browne charging system,browne charge system,2.5
CC,cc,3.0
CD,cd,1.0
CD-ROM retrieval,cd - rom retrieval,1.0
CILIP,cilip,3.0
CLIR,clir,3.0
COM catalog,com catalog,3.0
Chinese book form,chinese book form,2.0
Chinese book printed in Japan,chinese book print in japan,2.0
Citizen's Library,citizen 's library,1.3333333333333333
Classification of Ssu-ku chu'on-shu,classification of ssu - ku chu'on - shu,2.5
Code of Ethics for Librarians,code of ethic for librarian,2.1
Colon Classification,colon classification,4.0
Cooperative Online Resource Catalog,cooperative online resource catalog,3.0
Copyright Law,copyright law,2.5
Council of Law Libraries,council of law librarie,2.0
Council on Library and Information Resources,council on library and information resource,1.75
Cranfield Experiments,cranfield experiment,3.5
Creative Commons,creative common,2.0
DAISY,daisy,3.0
DDC,ddc,3.0
DRM,drm,3.0
Daiso,daiso,3.0
Deutsche Bibliothek,deutsche bibliothek,3.0
Dewey Decimal Classification,dewey decimal classification,4.0
Digital Accessible Information SYstem,digital accessible information system,2.25
Digital Object Identifier,digital object identifier,3.25
Dublin Core,dublin core,4.0
EYE Mark,eye mark,1.5
Emperor's autography,emperor 's autography,2.0
Emperor's edition,emperor 's edition,2.3333333333333335
