term,term_lemma,difficulty_score
1/f noise,1 / f noise,1.0
A15 structure,a15 structure,2.0
AC,ac,3.0
AC bias,ac bias,3.0
AC corona,ac corona,4.0
AC-DC converter,ac - dc converter,3.0
ADC,adc,3.0
AM,be,1.0
APW method,apw method,2.0
AVF cyclotron,avf cyclotron,3.0
Aharonov-Bohm effect,aharonov - bohm effect,2.0
Airy functions,airy function,2.5
Alfven velocity,alfven velocity,3.0
Alfven wave,alfven wave,2.5
Anderson Hamiltonian,anderson hamiltonian,3.0
Anderson localization,anderson localization,3.0
Anderson model,anderson model,2.6666666666666665
Anderson orthogonality theorem,anderson orthogonality theorem,3.0
Anderson transition,anderson transition,4.0
Auger effect,auger effect,2.0
Auger electron,auger electron,3.0
Auger electron spectroscopy,auger electron spectroscopy,3.0
Avogadro constant,avogadro constant,4.0
BA gauge,ba gauge,3.0
BCS theory,bcs theory,3.0
BRS transformation,br transformation,3.0
BW state,bw state,3.333333333333333
Babinet compensator,babinet compensator,3.0
Babinet-Soleil compensator,babinet - soleil compensator,3.0
Balmer series,balmer series,3.0
Banach space,banach space,2.0
Barkas effect,barkas effect,2.0
Baxter model,baxter model,2.6666666666666665
Bayes' theorem,bayes ' theorem,3.0
Benard convection,benard convection,3.0
Bernstein wave,bernstein wave,2.5
Bessel function,bessel function,2.5
Bethe-Salpeter equation,bethe - salpeter equation,4.0
Bhabha scattering,bhabha scattering,3.0
Bianchi identity,bianchi identity,3.0
Bitter pattern,bitter pattern,3.0
Blasius flow,blasius flow,3.0
Bloch function,bloch function,2.5
Bloch wall,bloch wall,1.0
Bohm diffusion,bohm diffusion,3.0
Bohr magneton,bohr magneton,3.0
Bohr radius,bohr radius,3.0
Boltzmann constant,boltzmann constant,4.0
Boltzmann distribution,boltzmann distribution,3.0
Boltzmann equation,boltzmann equation,4.0
Boltzmann factor,boltzmann factor,4.0
Boltzmann statistics,boltzmann statistics,4.0
Boltzmann transport equation,boltzmann transport equation,3.75
Borda's pendulum,borda 's pendulum,3.0
Born approximation,bear approximation,1.5
Born-Oppenheimer approximation,bear - oppenheimer approximation,1.5
Bose condensation,bose condensation,6.0
