laplacian operator
led printer
ic memory
physical line
vocal organs
packet communication
to return
silver salt
high order
read time
general instruction
don't care
main frame
one board
to assign
broad band
magnetic circuit
special feature
transmitted light
fixed head
vocal cords
and gate
mail service
synchronous system
to branch
spectrum analysis
to compare
to pack
rational function
to search
parallel control
transport service
walk through
continued fraction
parallel edges
open type
to translate
associative unit
tape feed
to compile
contour line
fluorescent screen
stereoscopic vision
natural deduction
character set
electric charge
low order
storage capacity
standard pattern
deep knowledge
optimistic method
up time
floating head
physical structure
statistical information
card guide
magnetic material
operation part
display position
flexible disk
display space
serial number
special functions
automatic operation
tandem system
external interruption
direct method
flying head
stand alone
relative order
radio communication
expert knowledge
distribution system
to qualify
to convert
assembly program
manual operation
to assemble
free access
information science
library system
to load
best distribution
transmission line
cathode ray
communication service
termination property
centralized control
local function
storage space
idle time
primary function
priority control
production control
leased line
look ahead
thermal head
type face
control program
infrared rays
trouble shooting
automatic control
to expand
support program
control circuit
control field
control operation
free space
human factor
index table
leading edge
load distribution
operating time
recording head
transient phenomena
wire frame
standard procedure
transmission system
uniform distribution
basic circuit
centralized operation
inductive inference
orthogonal transformation
partial sum
parallel operation
service area
simple structure
successive approximation
time constant
work standard
check point
in cipher
magnetic core
modulation factor
accounting system
characteristic distortion
dead time
equivalent relation
frequency distribution
magnetic recording
magnetic film
servo system
symbolic logic
upper layer
vector method
characteristic function
common language
electrical network
integral equation
linear function
physical data
preventive maintenance
recurrence formula
storage area
thermal conductivity
automatic coding
carrier frequency
control unit
diffusion method
frequency response
gompertz curve
input speed
operating point
random sampling
running time
service rate
statistical analysis
to allocate
traffic control
wave equation
writing speed
a priori
data sheet
delay line
equivalent circuit
hysteresis loop
noise generator
number system
page printer
potential function
power level
quality control
signal-to-noise ratio
universal function
absolute value
arithmetic unit
automatic programming
direct product
flow diagram
fundamental solution
harmonic distortion
horizontal distribution
inventory control
numerical computation
operating voltage
phase shift
power series
variable word
ascending order
characteristic equation
control system
delay time
information theory
level control
line drawing
logical operation
magnetic field
magnetic tape
power control
reference voltage
security control
sign on
version up
word length
absolute stability
automatic indexing
block diagram
centralized processing
communication system
conformal mapping
deductive method
dynamic characteristics
flow control
information rate
initial value
linear space
logical structure
minimum distance
numerical control
numerical analysis
numerical integration
operation time
rational number
signal channel
silicon transistor
sound spectrogram
switching time
to transform
transfer characteristics
waiting time
beam deflection
binary counter
closed loop
coaxial cable
data processing
data handling
distribution function
exponential function
formal theory
heat sink
instrumentation system
intermediate storage
inverse matrix
linear combination
linear programming
linear equation
low pass
loop gain
magnetic flux
noise level
normal distribution
patent information
printed circuit
prototype model
random noise
random process
relative error
reliable system
remote maintenance
service time
specular reflection
switching function
test data
test program
absolute error
channel switch
circuit analysis
computer operation
computer installation
control group
correlation coefficient
electron beam
expected value
floor plan
frequency shift
fundamental frequency
generating function
initial state
integrated system
main process
open loop
partial derivative
probability theory
recovery time
sampling error
sense line
sound source
standard deviation
to program
total system
transfer rate
work space
algebraic system
black box
control data
control procedures
diagonal element
direct access
diffusion equation
display unit
empty set
experimental design
formal system
frequency band
gaussian noise
image intensifier
initial condition
language translation
leakage current
magnetic head
memory element
normal form
open system
ordered set
phase change
regression line
spindle motor
structural analysis
to sort
algebraic code
cartesian product
cell size
character recognition
clean room
close coupling
control computer
control loop
correlation function
digital data
dynamic system
energy function
equipment failure
external reference
finite difference
image enlargement
iteration method
logical implication
loop network
mathematical model
monitor system
object program
output unit
print control
print out
programming system
system analysis
system test
transfer time
transfer function
transfer method
