greatest common divisor
band transmission system
quality of service
munsell color system
remote control system
traffic control system
number of occurrences
international telecommunication union
cluster development method
electronic data processing
electronic switching system
recursively enumerable set
general purpose computer
linear programming problem
a posteriori probability
average access time
data processing system
electronic industries association
probability density function
a programming language
data transmission efficiency
information retrieval system
adaptive control system
character recognition system
special purpose computer
call processing program
piecewise linear approximation
computer assisted instruction
digital to analog
industrial process control
information processing system
multiple computer system
boundary value problem
place of articulation
distributed database management
high level language
information processing service
network control unit
variable length coding
business data processing
finite difference method
initial value problem
medical information system
high reliability system
interactive design system
electrostatic latent image
finite element method
monte carlo method
conjugate gradient method
data description language
fast fourier transform
integer programming problem
magnetic disk unit
ring of integers
japanese industrial standards
computer graphics system
creation of task
mean waiting time
average waiting time
hospital information system
instruction set processor
speech understanding system
canonical correlation analysis
central processing unit
liquid crystal display
long term memory
mass storage system
read only memory
adaptive transform coding
distributed data processing
distributed processing system
floppy disk system
image pattern recognition
management information system
special purpose processor
structure analysis method
computer image processing
data base language
digital image processing
distributed processing environment
random access memory
test data generation
automatic program generation
information network system
logical address space
maximum entropy method
distributed database system
linear predictive coding
low pass filter
optical character reader
phrase structure grammar
real time processing
discrete fourier transform
problem solving system
relational data base
relational database system
root mean square
data flow analysis
data transmission rate
database management system
decision support system
fault tolerant system
fifth generation computer
floppy disk drive
linear prediction analysis
data acquisition system
data transfer rate
digital signal processing
distributed operating system
dynamic programming matching
electron beam lithography
information management system
light emitting diode
local area network
parallel processing system
program development environment
vertical magnetic recording
algebraic specification method
computer integrated manufacturing
image input unit
knowledge base management
liquid crystal panel
machine translation system
open systems interconnection
optical disk system
personal computer network
speech recognition system
video conference system
virtual memory system
data flow graph
depth first search
digital signal processor
generalized inverse matrix
inverse fourier transform
knowledge representation language
logic programming language
magnetic disk drive
public switched network
register transfer level
software development environment
switch level simulation
japanese word processor
osi transport layer
formal description technique
