large salivary gland
poisons and deleterious
disorder of sensation
period of gestation
chronic articular rheumatism
acute infectious disease
late middle age
path of pain
cause of death
carcinoma of tongue
doctor in charge
mean molecular weight
acute febrile disease
discoid lupus erythematosus
disturbance of consciousness
modulus of elasticity
root canal preparation
maximal blood pressure
chronic hyperplastic pulpitis
chronic ulcerative pulpitis
complement fixation test
transverse facial cleft
skin reaction test
external carotid artery
hydrogen ion concentration
national health insurance
systolic blood pressure
blood platelet count
national nutrition survey
cranial base line
impacted supernumerary tooth
basal metabolic rate
body of maxilla
hard of hearing
public health service
delusion of persecution
school health program
squamous cell carcinoma
blood coagulation time
lingual arch appliance
idiopathic glossopharyngeal neuralgia
manual artificial respiration
inferior nasal concha
half value layer
cause of disease
giant cell tumor
dental health education
unsaturated fatty acid
compound action potential
langhans giant cell
corpus luteum hormone
powder liquid ratio
congenital heart disease
biological false positive
external auditory meatus
undifferentiated mesenchymal cell
breath holding time
infected root canal
progressive muscular dystrophy
sodium fluoride solution
comprehensive medical care
free fatty acid
medical examiner system
polyostotic fibrous dysplasia
basal cell carcinoma
blood coagulation factor
prickle cell layer
dental caries prevention
maximal breathing capacity
monoamine oxidase inhibitor
incompatible blood transfusion
granular cell myoblastoma
purpuric drug eruption
total body water
absolute refractory period
circulating blood volume
cumulative survival rate
dental health care
relative biological effectiveness
high voltage radiography
mean survival time
mixed venous blood
di guglielmo syndrome
double blind method
emission spectrochemical analysis
lateral spinothalamic tract
maximum biting force
recurrent nerve paralysis
reticular activating system
bone marrow death
chronic myelocytic leukemia
fluorescent antibody technique
logarithmic growth phase
public health administration
site of action
solitary bone cyst
stratified squamous epithelium
cerebral metabolic rate
double blind test
electron spin resonance
enteropathogenic escherichia coli
essential amino acid
mean blood pressure
occlusive dressing therapy
pharmaceutical affairs law
cervical lymph node
citric acid cycle
electron transport system
genetically significant dose
maximum oxygen intake
pain producing substance
passive cutaneous anaphylaxis
pulmonary diffusing capacity
buccal fat pad
congenital ectodermal dysplasia
mean arterial pressure
oral microbial flora
relative refractory period
renal blood flow
alveolar bone resorption
duration of action
hemagglutination inhibition test
maximal expiratory flow
particle size distribution
administration of drug
broad antibacterial spectrum
cerebellopontine angle tumor
lactic acid bacteria
scanning electron microscope
thin layer chromatography
tungsten carbide bur
central nervous system
congenital rubella syndrome
hydrocolloid impression material
linear energy transfer
second order reaction
autonomic nervous system
ion exchange chromatography
physically handicapped person
reduced enamel epithelium
sterile distilled water
superior nasal meatus
virus neutralizing antibody
mnss blood group
atomic absorption spectrophotometry
blood coagulation inhibitor
carcinoma in situ
cerebral blood flow
chronic lymphocytic leukemia
colloid osmotic pressure
spinal cord injury
total lung capacity
ventilation perfusion ratio
viable cell count
head of mandible
new drug application
total lung volume
total peripheral resistance
corticotropin releasing factor
forced expiratory volume
iron deficiency anemia
side effect information
vitamin k deficiency
well differentiated carcinoma
rh blood group
amino acid sequence
gastric emptying time
idiopathic thrombocytopenic purpura
intravenous drip infusion
maximum oxygen uptake
systemic blood pressure
day care center
peripheral nervous system
pulmonary blood flow
basal cell layer
central venous pressure
drug metabolizing enzyme
floor of mouth
prospective cohort study
root canal irrigation
saturated fatty acid
abo blood group
chronic renal failure
essential fatty acid
mandibular nerve block
clinical laboratory test
cytochrome c oxidase
glycogen storage disease
health care industry
herpes simplex virus
mixed lymphocyte reaction
ventricular function curve
lewis blood group
acinic cell tumor
acute lymphocytic leukemia
cell surface antigen
effective atomic number
excitatory postsynaptic potential
giant cell granuloma
radical neck dissection
agar impression material
amorphous calcium phosphate
angle of mandible
aromatic amino acid
end tidal air
forced vital capacity
low density lipoprotein
maximum diastolic potential
metabolic bone disease
oxygen dissociation curve
peripheral vascular resistance
potentially lethal damage
premature ventricular contraction
protein synthesis inhibitor
simple bone cyst
bundle branch block
classical complement pathway
colony stimulating factor
poorly differentiated adenocarcinoma
root surface caries
amyotrophic lateral sclerosis
blood coagulation system
cell surface marker
colony forming unit
high density lipoprotein
pulmonary function test
suppressor t cell
viral capsid antigen
acute pseudomembranous candidiasis
killer t cell
medical security system
minimum inhibitory concentration
primary health care
progressive systemic sclerosis
cytotoxic t lymphocyte
inferior alveolar nerve
inspiratory flow rate
nerve growth factor
obstructive pulmonary disease
vocal cord paralysis
autonomic temperature regulation
blood alcohol concentration
